CAS-RN,NAME,STATUS_TEXT,STATUS_BIN,SMILES,k OH (AOPv1.92) atmospheric,t1/2 atmosphere in hours,"VP (mm Hg, MPVPBP v1.43)","VP (Pa, MPBPVPwin))",BIOWIN1,BIOWIN2,BIOWIN3,t1/2(water)hrs,t1/2(soil)hrs,BIOWIN4,BIOWIN5,BIOWIN6,log Kow (KowWin v1.67),log Koa (KoaWin v1.10),log Kaw (=Kow/Koa,BCF (BCFBAF v3.00),BCFmax,"kM halflife (days, BCFBAF v3.00)",kM,BCF(metabolism),TMF air,TMF pelagic,BAF air,LRTP-Pov,LRTP-CTD,LRTP-TE,MW,P-score,B-score
000050-00-0, Formaldehyde,not P,0,C=O,8.13E-12,4.74E+01,3.50E+03,4.65E+05,1.0179,0.9999,3.1551,2.74E+02,5.48E+02,4.0011,1.0342,0.9879,0.35,5.211,-4.861,3.162,3.26E+00,0.054968056,12.61,2.7973,1.1,5.4,3.1,25.20874125,2986.407997,12.88062961,30.03,0.0342,0.0039
000056-81-5," 1,2,3-Propanetriol",not P,0,OCC(O)CO,1.87E-11,2.06E+01,8.00E-05,1.06E-02,1.1799,0.9937,3.4756,1.47E+02,2.93E+02,4.1032,0.9697,0.9744,-1.65,4.39,-6.15,3.162,1.25E+00,0.005545177,125.00,0.7679,-3.6,3.6,0.8,14.47493078,538.5991529,2.357538477,92.1,0.0136,0.0014
000057-57-8, 2-Oxetanone,not P,0,O1C(=O)CC1,6.14E-13,6.27E+02,2.30E+00,3.05E+02,.8874,0.9977,3.1801,2.61E+02,5.22E+02,3.9727,0.8809,0.9666,-0.8,1.7,-2.5,3.162,1.62E+00,0.005545177,125.00,0.8919,-26.3,-10.1,0.9,67.49724874,17735.54315,83.18504206,72.06,0.1588,0.0015
000060-12-8, Benzeneethanol,not P,0,OCCc1ccccc1,1.02E-11,3.79E+01,2.44E-02,3.24E+00,1.0309,0.9916,3.0363,3.45E+02,6.90E+02,3.7373,0.5446,0.7127,1.57,6.34,-4.98,2.036,1.34E+01,0.047088803,14.72,7.4899,6.0,6.0,44.6,33.23273625,2745.609981,11.77947549,122.17,0.0536,0.0282
000062-23-7," Benzoic acid, 4-nitro-",not P,0,N(=O)(=O)c1ccc(C(=O)O)cc1,5.86E-13,6.57E+02,2.54E-06,3.37E-04,.5398,0.634,2.7481,6.06E+02,1.21E+03,3.506,0.4372,0.1447,1.69,9.647,-7.757,3.162,1.62E+01,0.170306433,4.07,12.7775,9.1,-4.2,116.7,55.00703962,62.85453916,0.07036271,167.12,0.1176,0.0563
000062-53-3, Benzenamine,not P,0,Nc1ccccc1,1.08E-10,3.58E+00,7.93E-01,1.06E+02,.5975,0.829,2.8804,4.68E+02,9.36E+02,3.6099,0.3185,0.3125,1.08,4.983,-4.083,3.162,6.91E+00,0.032557406,21.29,4.3438,-0.1,5.0,4.3,38.20582251,2682.962836,7.706541132,93.13,0.0669,0.0050
000063-25-2," 1-Naphthalenol, methylcarbamate",not P,0,c12c(OC(=O)NC)cccc-1cccc2,2.60E-11,1.48E+01,5.34E-05,7.11E-03,.7313,0.7615,2.7078,6.55E+02,1.31E+03,3.751,0.128,0.1188,2.35,9.234,-6.874,16.75,5.08E+01,0.191265778,3.62,29.2132,9.6,-1.9,281.5,68.79761756,116.7572634,0.515166873,201.23,0.1631,0.1036
000064-17-5, Ethanol,not P,0,OCC,3.58E-12,1.08E+02,6.10E+01,8.12E+03,.8843,0.9699,3.2573,2.24E+02,4.49E+02,3.9107,0.786,0.9339,-0.14,3.379,-3.689,3.162,2.27E+00,0.028654286,24.19,1.8600,-10.9,-0.2,1.9,26.96129767,4718.797755,20.74624316,46.07,0.0381,0.0027
000064-19-7, Acetic acid,not P,0,OC(=O)C,6.22E-13,6.19E+02,1.72E+01,2.29E+03,.7916,0.9426,3.4311,1.60E+02,3.20E+02,4.1467,0.7151,0.875,0.09,5.218,-5.388,3.162,2.66E+00,0.076220275,9.09,2.4208,1.1,5.4,2.7,16.08278479,1917.576061,8.503295292,60.05,0.0162,0.0036
000064-67-5," Sulfuric acid, diethyl ester",not P,0,S(=O)(=O)(OCC)OCC,1.64E-12,2.34E+02,2.42E-01,3.21E+01,.6741,0.6941,2.8584,4.88E+02,9.77E+02,3.6253,0.3531,0.2636,1.14,4.74,-3.6,2.625,7.45E+00,0.090477376,7.66,6.0572,-1.5,4.5,6.1,43.95733465,5100.481028,23.24120917,154.18,0.0834,0.0065
000065-85-0, Benzoic acid,not P,0,OC(=O)c1ccccc1,1.24E-12,3.10E+02,2.99E-03,3.97E-01,.9944,0.9959,3.0392,3.43E+02,6.87E+02,3.6842,0.7669,0.8855,1.87,7.678,-5.808,3.162,2.16E+01,0.106034447,6.54,13.7756,9.2,4.1,127.1,35.09239703,1030.54978,4.563371441,122.12,0.0584,0.0598
000066-72-8, Pyridoxal,not P,0,n1c(C)c(O)c(C=O)c(CO)c1,2.69E-11,1.43E+01,5.41E-07,7.20E-05,1.1272,0.9998,2.7794,5.70E+02,1.14E+03,3.8851,0.8121,0.8556,0.45,11.826,-11.376,3.162,3.56E+00,0.005545177,125.00,1.2764,2.2,-20.7,2.8,45.75075668,59.13466169,0.000109969,167.17,0.0888,0.0037
000067-48-1, Choline chloride,not P,0,OCCN(C)(C)(C),1.86E-11,2.07E+01,1.57E-07,2.09E-05,.8567,0.9338,3.1289,2.88E+02,5.76E+02,3.8269,0.6542,0.8448,-5.16,8921,-14.081,3162,1.00E+00,0.005545177,125.00,0.6674,-59811006.7,-65487337.4,0.7,25.64702837,29.91636743,3.28121E-08,104.17,0.0351,0.0012
000067-52-7," 2,4,6(1H,3H,5H)-Pyrimidinetrione",not P,0,C1(=O)NC(=O)NC(=O)C1,2.53E-12,1.52E+02,5.61E-10,7.47E-08,.6866,0.7667,2.9161,4.36E+02,8.73E+02,3.6629,0.3508,0.2818,-1.25,9.854,-11.324,3.162,1.38E+00,0.005545177,125.00,0.8157,8.8,-5.4,7.2,36.19751103,45.30125772,2.0568E-05,128.09,0.0614,0.0073
000067-63-0, 2-Propanol,not P,0,OC(C)C,7.27E-12,5.30E+01,4.97E+01,6.61E+03,.8777,0.9635,3.2263,2.38E+02,4.77E+02,3.8905,0.6446,0.8499,0.28,3.53,-3.48,3.162,3.08E+00,0.036443069,19.02,2.4900,-9.7,0.5,2.5,28.6901979,5162.742997,22.28469213,60.1,0.0422,0.0033
000068-11-1," Acetic acid, mercapto-",not P,0,SCC(=O)O,3.85E-11,1.00E+01,4.16E-01,5.53E+01,.7764,0.9124,3.3602,1.83E+02,3.67E+02,4.1004,0.6687,0.807,0.03,6.191,-6.101,3.162,2.54E+00,0.045601788,15.20,2.2018,5.4,6.0,11.9,17.61584963,584.1657594,2.517553427,92.11,0.0189,0.0107
000069-72-7," Benzoic acid, 2-hydroxy-",not P,0,OC(=O)c1c(O)cccc1,1.30E-11,2.96E+01,3.20E-05,4.25E-03,.9745,0.9876,3.0382,3.44E+02,6.88E+02,3.6959,0.7753,0.8757,2.24,8.783,-6.523,3.162,4.14E+01,0.092977489,7.46,18.4721,9.9,0.2,182.7,37.60144321,250.5796879,1.105319994,138.12,0.0652,0.0771
000071-23-8, 1-Propanol,not P,0,OCCC,5.48E-12,7.03E+01,2.33E+01,3.09E+03,.8777,0.9635,3.2263,2.38E+02,4.77E+02,3.8905,0.7937,0.9354,0.35,3.769,-3.519,3.162,3.26E+00,0.041456171,16.72,2.6738,-7.9,1.5,2.7,28.68686072,5101.409407,22.26195552,60.1,0.0422,0.0035
000071-43-2, Benzene,not P,0,c1ccccc1,1.95E-12,1.97E+02,8.74E+01,1.16E+04,1.0296,0.9999,2.4406,1.10E+03,2.21E+03,3.3922,0.5291,0.7294,1.99,2.774,-0.644,11.81,2.64E+01,1.541697466,0.45,25.2392,-15.9,-3.2,25.2,925.6533697,255051.7057,350.1321903,78.11,0.9418,0.0186
000074-98-6, Propane,not P,0,CCC,1.27E-12,3.04E+02,6.15E+03,8.19E+05,.7266,0.9155,3.1017,3.04E+02,6.08E+02,3.7841,0.6312,0.8483,1.81,0.899,1.461,16.75,1.96E+01,0.388753326,1.78,17.1548,-35.1,-16.5,17.2,1818.716447,428855.0842,112.1126988,44.1,0.9808,0.0140
000075-05-8, Acetonitrile,not P,0,N#CC,2.58E-14,1.49E+04,2.00E+02,2.67E+04,1.0350,0.9992,3.0261,3.52E+02,7.04E+02,3.7233,0.6621,0.8312,-0.15,2.511,-2.851,3.162,2.26E+00,0.044922047,15.43,1.9792,-18.3,-4.7,2.0,51.75484812,10477.82937,50.20396476,41.05,0.1073,0.0028
000075-07-0, Acetaldehyde,not P,0,C(=O)C,1.70E-11,2.27E+01,9.12E+02,1.21E+05,1.0112,0.9999,3.1241,2.91E+02,5.82E+02,3.9808,0.9929,0.9823,-0.17,2.224,-2.564,3.162,2.23E+00,0.054578518,12.70,2.0005,-21.0,-6.5,2.0,48.23079188,12069.78252,43.00310974,44.05,0.0963,0.0028
000075-26-3," Propane, 2-bromo-",not P,0,BrC(C)C,6.69E-13,5.76E+02,2.15E+02,2.85E+04,.6428,0.0399,2.9563,4.04E+02,8.07E+02,3.7057,0.3931,0.1622,2.08,2.487,-0.347,11.99,3.09E+01,0.238604881,2.91,22.7358,-18.5,-4.9,22.7,2228.017255,489027.0182,718.5689986,122.99,0.9863,0.0172
000075-50-3," Methanamine, N,N-dimethyl-",not P,0,CN(C)C,6.98E-11,5.52E+00,1.68E+03,2.24E+05,.5141,0.4866,2.8137,5.33E+02,1.07E+03,3.4745,0.4527,0.5094,0.04,2.531,-2.371,3.162,2.56E+00,0.020555966,33.72,1.9018,-18.1,-4.6,1.9,35.44323386,7832.164352,12.84931055,59.11,0.0594,0.0027
000075-86-5," Propanenitrile, 2-hydroxy-2-methyl-",not P,0,OC(C)(C)C#N,1.17E-12,3.28E+02,4.10E-01,5.45E+01,.8301,0.9912,2.7166,6.44E+02,1.29E+03,3.5063,0.599,0.6771,-0.03,3.245,-3.275,3.162,2.44E+00,0.038022336,18.23,2.0704,-11.9,-0.8,2.1,57.66752652,6625.477155,31.74936775,85.11,0.1262,0.0029
000077-68-9," Propanoic acid, 2-methyl-, 3-hydroxy-2,2,4-trimethylpentyl ester",not P,0,CC(C)C(O)C(C)(C)COC(=O)C(C)C,1.62E-11,2.37E+01,4.79E-03,6.37E-01,.7935,0.968,2.8092,5.38E+02,1.08E+03,3.7406,0.5409,0.5931,3,8.474,-5.474,44.07,1.91E+02,0.042628978,16.26,14.1712,9.9,1.5,140.2,62.41861626,1659.777097,7.1037682,216.32,0.1418,0.0641
