,Unnamed: 0,Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M,M_noise
0,74881,148029,71813147,20.4782,-13.1412,5.94014,-14.5389,14.4214,-0.887121,2.71706,1,15.3649,8.115,0.100974,-13.0467,8.11562,-1.25301,0.0124422,1,21.4943,21.40540463312563
1,44373,149011,911248516,9.75222,3.45327,1.55256,8.98723,3.78623,1.59926,0.422515,-1,8.55985,-1.81935,1.64207,8.2015,2.45081,1.92266,2.40736,1,5.19656,-1.1012979303631925
2,97565,146511,403962773,2.70327,2.65829,-0.439502,0.219013,2.69438,0.0811957,-0.16385,-1,12.3704,-10.2989,6.83801,0.447973,12.3622,0.0362293,2.55547,1,11.2894,3.6155980409807142
3,3056,147115,119132977,6.27527,-1.80276,-2.08176,-5.63874,2.75385,-1.46471,-2.28449,-1,94.625,6.92291,15.6576,-93.0634,17.1198,-2.39455,1.1545,1,15.1072,8.289501938087938
4,25746,149181,1505067867,33.0093,19.279,-6.74919,-25.9303,20.4262,-1.05969,-0.336746,1,55.6193,-17.3282,5.56111,52.5577,18.1987,1.78242,2.83105,-1,84.5032,92.52940057307373
5,58488,148031,350900545,25.3093,2.92631,3.29321,-24.9229,4.40551,-2.4338,0.844322,1,119.973,-3.05048,-19.3889,-118.357,19.6274,-2.49673,-1.72685,1,17.856,13.315554093350729
6,29210,149181,755111632,7.28819,-2.50437,0.0454963,6.84425,2.50478,1.73027,3.12343,1,115.456,18.5708,-27.0591,110.693,32.8187,1.93019,-0.969321,-1,16.2229,13.15677463337705
7,96377,149182,97394460,33.7466,14.7169,-9.77772,-28.7514,17.6689,-1.26333,-0.586422,1,8.04738,-3.53206,5.59652,4.57863,6.61789,0.645982,2.13378,-1,31.9348,27.84233260213052
8,17257,146644,1625276307,18.0641,-13.6514,-11.4799,2.85751,17.8367,0.159527,-2.44239,1,9.22168,-0.750157,-3.51019,-8.49442,3.58946,-1.59647,-1.78134,-1,16.7522,14.247313304662278
9,7315,146644,1333402783,72.966,-21.0521,-0.0418434,-69.863,21.0521,-1.91465,-3.13961,1,5.42901,2.6034,-2.20047,-4.22545,3.40878,-1.04107,-0.701719,1,17.6434,12.104718629410236
10,5926,146644,966563100,4.84406,-1.70093,4.51495,0.432384,4.82472,0.0894988,1.93109,1,9.53545,-0.995149,-3.05938,8.97634,3.21716,1.74991,-1.88528,1,10.4335,2.2306138668083815
11,53870,148031,51673935,4.58313,1.31643,1.61336,4.08279,2.08228,1.42593,0.886402,-1,45.5588,-12.2992,-23.8025,-36.848,26.7924,-1.12355,-2.04773,1,28.7693,30.09941362894305
12,95652,149182,3916639,20.7954,-3.74307,-1.08284,-20.427,3.89656,-2.35889,-2.85999,-1,128.232,21.8892,-2.34691,-126.328,22.0146,-2.44783,-0.10681,1,18.1941,16.98913715400962
13,63753,147754,262282087,102.522,-20.8863,-0.891957,100.368,20.9053,2.27266,-3.09891,1,14.4868,1.79693,-2.62398,14.1334,3.18029,2.19714,-0.970338,-1,14.2735,7.397048913357088
