,0
0,2864
1,10648
2,2219
3,7057
4,8652
5,5012
6,8368
7,4326
8,7438
9,699
10,2289
11,6508
12,4417
13,7245
14,7687
15,8182
16,6355
17,3849
18,868
19,1644
20,9229
21,6797
22,6364
23,1906
24,888
25,5777
26,9609
27,5927
28,10307
29,8749
30,7110
31,7925
32,3077
33,5660
34,1746
35,6184
36,5277
37,332
38,385
39,4797
40,5049
41,10567
42,40
43,1219
44,7444
45,5174
46,7672
47,3485
48,10319
49,4678
50,8548
51,6480
52,6407
53,3530
54,9998
55,5859
56,4058
57,6386
58,8206
59,2621
60,2578
61,75
62,908
63,5737
64,8667
65,3167
66,4422
67,5428
68,10764
69,8088
70,6232
71,3330
72,8072
73,7867
74,8481
75,9817
76,8890
77,8945
78,2093
79,7496
80,8471
81,6192
82,9161
83,1579
84,2271
85,9187
86,9321
87,6970
88,4022
89,3595
90,3869
91,28
92,10275
93,4677
94,6413
95,4980
96,7914
97,1486
98,2530
99,4982
100,1912
101,2482
102,7617
103,4895
104,7894
105,5318
106,5589
107,8422
108,3502
109,1588
110,8782
111,7074
112,7837
113,7665
114,5598
115,3902
116,10462
117,3260
118,7813
119,10728
120,5096
121,26
122,4057
123,8106
124,10638
125,2586
126,7545
127,4254
128,4818
129,8958
130,5323
131,9270
132,173
133,3938
134,1022
135,8707
136,10788
137,8860
138,545
139,9200
140,3536
141,1464
142,4071
143,3824
144,2575
145,10511
146,4950
147,7113
148,9372
149,6469
150,3489
151,10574
152,3044
153,7262
154,603
155,2389
156,3065
157,3118
158,5908
159,4735
160,3698
161,7974
162,6959
163,1512
164,2844
165,1545
166,5420
167,6290
168,7311
169,6252
170,6233
171,9588
172,9052
173,9145
174,7639
175,3729
176,2426
177,6983
178,8780
179,6984
180,1873
181,2411
182,4395
183,5742
184,1661
185,70
186,8353
187,6936
188,4931
189,9822
190,1210
191,10534
192,2992
193,10469
194,6196
195,7793
196,2967
197,9585
198,9235
199,95
200,7261
201,4105
202,10362
203,10063
204,5507
205,1568
206,7728
207,4491
208,5481
209,1114
210,1658
211,103
212,6317
213,10483
214,6537
215,8824
216,4030
217,4426
218,9209
219,1703
220,4215
221,7731
222,8287
223,3624
224,9285
225,7017
226,3717
227,1117
228,7042
229,8025
230,1373
231,5268
232,6219
233,691
234,5649
235,10067
236,6999
237,80
238,7555
239,6243
240,2966
241,2625
242,5353
243,294
244,6614
245,10773
246,2666
247,7351
248,5952
249,3953
250,8100
251,10432
252,7591
253,1405
254,7669
255,6039
256,5768
257,7214
258,8474
259,9413
260,3781
261,7965
262,1670
263,7065
264,5806
265,7432
266,3795
267,3096
268,1609
269,6425
270,6814
271,457
272,1293
273,10579
274,10598
275,1561
276,1615
