,accuracy,balanced_accuracy,recall,precision,auc,pr_auc,f1_score,f2_score,log_loss
0,0.74,0.74,0.6716666666666666,0.777992277992278,0.74,0.8069128056628055,0.7209302325581394,0.6905414667580534,8.980158490763838
1,0.745,0.745,0.6766666666666666,0.7837837837837838,0.745,0.8110585585585586,0.7262969588550984,0.6956819739547635,8.80746260979571
2,0.7441666666666666,0.7441666666666666,0.69,0.7738317757009345,0.7441666666666666,0.8094158878504673,0.7295154185022026,0.7052810902896082,8.83625092043886
3,0.7433333333333333,0.7433333333333334,0.685,0.7754716981132076,0.7433333333333334,0.8089858490566039,0.7274336283185842,0.7013651877133107,8.865031901438902
4,0.7275,0.7275,0.6666666666666666,0.7590132827324478,0.7274999999999999,0.7961733080328905,0.7098491570541259,0.683293474547318,9.411901191674524
5,0.7408333333333333,0.7408333333333333,0.6883333333333334,0.7690875232774674,0.7408333333333333,0.8066270949720671,0.7264731750219876,0.7030983997276132,8.951382174082138
6,0.745,0.7450000000000001,0.68,0.7816091954022989,0.7450000000000001,0.8108045977011494,0.7272727272727274,0.6981519507186859,8.807463942458092
7,0.7325,0.7324999999999999,0.6833333333333333,0.7578558225508318,0.7325,0.7997612446087493,0.7186678352322525,0.6970418225093505,9.239209975024737
8,0.7433333333333333,0.7433333333333334,0.6783333333333333,0.7796934865900383,0.7433333333333333,0.8094300766283526,0.7254901960784315,0.6964407939767283,8.865029236114136
9,0.745,0.745,0.6883333333333334,0.7763157894736842,0.745,0.8102412280701753,0.7296819787985867,0.7042974079126876,8.807467274114051
10,0.735,0.7350000000000001,0.675,0.7670454545454546,0.735,0.8022727272727272,0.7180851063829787,0.6915983606557379,9.152857703387927
11,0.75,0.75,0.6883333333333334,0.785171102661597,0.75,0.8146688846641319,0.7335701598579041,0.7057416267942584,8.634769394152348
12,0.7425,0.7424999999999999,0.6933333333333334,0.7689463955637708,0.7424999999999999,0.8078065311152187,0.729184925503944,0.7072424345460728,8.89381821308848
13,0.74,0.74,0.6733333333333333,0.7769230769230769,0.74,0.8067948717948717,0.7214285714285714,0.6917808219178082,8.980159157095029
14,0.7508333333333334,0.7508333333333332,0.6766666666666666,0.7945205479452054,0.7508333333333334,0.8164269406392695,0.7308730873087308,0.6973548608725524,8.605981749840387
15,0.75,0.75,0.6716666666666666,0.7964426877470355,0.75,0.8161380105401845,0.7287522603978299,0.6933929800412939,8.634762730840428
16,0.735,0.735,0.6833333333333333,0.7620817843866171,0.735,0.801874225526642,0.7205623901581723,0.6977535738597685,9.152861035043886
17,0.7466666666666667,0.7466666666666667,0.675,0.7879377431906615,0.7466666666666667,0.8127188715953306,0.7271095152603231,0.6949210706932052,8.749895983477282
18,0.74,0.74,0.6733333333333333,0.7769230769230769,0.74,0.8067948717948717,0.7214285714285714,0.6917808219178082,8.98015915709503
19,0.7583333333333333,0.7583333333333333,0.7033333333333334,0.7902621722846442,0.7583333333333333,0.8209644194756553,0.7442680776014109,0.7191547375596455,8.3469455911969
20,0.7491666666666666,0.7491666666666666,0.6683333333333333,0.7972166998011928,0.7491666666666666,0.8156916832339296,0.7271078875793291,0.6906648294867378,8.663544378171665
21,0.7491666666666666,0.7491666666666668,0.6983333333333334,0.7773654916512059,0.7491666666666666,0.8132660791589363,0.7357330992098333,0.712827492344335,8.663556372133117
22,0.755,0.755,0.6933333333333334,0.7908745247148289,0.755,0.8187705956907478,0.738898756660746,0.710868079289132,8.462073513184219
23,0.7483333333333333,0.7483333333333333,0.6816666666666666,0.7865384615384615,0.7483333333333333,0.8136858974358974,0.7303571428571429,0.7003424657534246,8.692332688814815
24,0.7441666666666666,0.7441666666666666,0.6733333333333333,0.7844660194174757,0.7441666666666666,0.8105663430420711,0.7246636771300449,0.692967409948542,8.836244257126943
25,0.745,0.745,0.6866666666666666,0.7773584905660378,0.745,0.8103459119496855,0.7292035398230088,0.7030716723549488,8.807466607782859
26,0.7475,0.7475,0.6766666666666666,0.7883495145631068,0.7475,0.8133414239482201,0.7282511210762331,0.6963979416809606,8.721113669814855
27,0.7416666666666667,0.7416666666666667,0.6716666666666666,0.7810077519379846,0.7416666666666667,0.808420542635659,0.7222222222222222,0.6910150891632372,8.922592530776605
28,0.76,0.76,0.6883333333333334,0.8035019455252919,0.76,0.8238343060959792,0.7414721723518852,0.7086479066575154,8.289373634228939
29,0.755,0.755,0.6716666666666666,0.806,0.755,0.8209166666666667,0.7327272727272727,0.6948275862068964,8.462064850878724
30,0.7616666666666667,0.7616666666666667,0.6833333333333333,0.8102766798418972,0.7616666666666666,0.825971673254282,0.7414104882459313,0.7054370268410186,8.231805675248129
31,0.7491666666666666,0.7491666666666666,0.6766666666666666,0.7914230019493177,0.7491666666666668,0.8148781676413255,0.729559748427673,0.6968760727772055,8.663547709827624
32,0.7541666666666667,0.7541666666666667,0.7,0.7850467289719626,0.7541666666666667,0.8175233644859813,0.7400881057268722,0.7155025553662692,8.490859158502602
33,0.7525,0.7525,0.69,0.7885714285714286,0.7525,0.8167857142857143,0.7359999999999999,0.7076923076923077,8.548421120502686
34,0.7666666666666667,0.7666666666666666,0.7166666666666667,0.7962962962962963,0.7666666666666666,0.8273148148148148,0.7543859649122806,0.7312925170068028,8.05912112191026
35,0.7541666666666667,0.7541666666666667,0.7033333333333334,0.7829313543599258,0.7541666666666667,0.8172990105132963,0.7410008779631255,0.7179312691391629,8.490860491164987
36,0.7575,0.7575000000000001,0.705,0.7877094972067039,0.7575000000000001,0.8201047486033519,0.7440633245382585,0.7201225740551582,8.375729237521709
37,0.7541666666666667,0.7541666666666667,0.695,0.7882797731568998,0.7541666666666665,0.8178898865784499,0.7387068201948627,0.7118470467736429,8.490857159509027
38,0.7608333333333334,0.7608333333333333,0.7016666666666667,0.7958412098298677,0.7608333333333335,0.8233372715816005,0.7457927369353411,0.7186753158074428,8.260595984884855
39,0.7541666666666667,0.7541666666666667,0.695,0.7882797731568998,0.7541666666666665,0.8178898865784499,0.7387068201948627,0.7118470467736429,8.490857159509028
40,0.7541666666666667,0.7541666666666667,0.6816666666666666,0.797270955165692,0.7541666666666667,0.8190521442495127,0.7349505840071877,0.7020254033642294,8.490851828859492
41,0.7608333333333334,0.7608333333333334,0.7083333333333334,0.7914338919925512,0.7608333333333335,0.822800279329609,0.7475813544415129,0.7235274089206674,8.260598650209623
42,0.7608333333333334,0.7608333333333333,0.69,0.8038834951456311,0.7608333333333333,0.8244417475728154,0.7426008968609865,0.7101200686106346,8.260591320566515
43,0.755,0.755,0.6816666666666666,0.798828125,0.755,0.8198307291666667,0.735611510791367,0.7022664835164835,8.462068848865878
44,0.7541666666666667,0.7541666666666667,0.7133333333333334,0.7767695099818511,0.7541666666666667,0.8167180883242589,0.7437011294526498,0.7251779057946459,8.490864489152138
45,0.7633333333333333,0.7633333333333333,0.71,0.7947761194029851,0.7633333333333332,0.8248880597014925,0.75,0.7254768392370572,8.174250376559964
46,0.7633333333333333,0.7633333333333334,0.7183333333333334,0.7893772893772893,0.7633333333333333,0.8242719780219779,0.7521815008726004,0.7315003394433129,8.174253708215923
47,0.7575,0.7575000000000001,0.705,0.7877094972067039,0.7575000000000001,0.8201047486033519,0.7440633245382585,0.7201225740551582,8.375729237521709
48,0.7525,0.7525,0.7066666666666667,0.7779816513761468,0.7525,0.81565749235474,0.7406113537117904,0.7198641765704584,8.548427783814605
49,0.7508333333333334,0.7508333333333332,0.705,0.7761467889908257,0.7508333333333334,0.8143233944954129,0.7388646288209607,0.7181663837011885,8.605993077470648
50,0.745,0.745,0.69,0.7752808988764045,0.745,0.8101404494382022,0.7301587301587302,0.705521472392638,8.807467940445244
51,0.765,0.765,0.6883333333333334,0.812992125984252,0.765,0.8285793963254592,0.7454873646209387,0.7101100412654746,8.116675754267234
52,0.7433333333333333,0.7433333333333334,0.6866666666666666,0.7744360902255639,0.7433333333333333,0.8088847117794487,0.7279151943462898,0.7025920873124147,8.865032567770095
53,0.7508333333333334,0.7508333333333332,0.6816666666666666,0.7911025145067698,0.7508333333333334,0.8159679239200516,0.7323187108325874,0.70106273568735,8.605983748833962
54,0.7625,0.7625,0.7,0.8,0.7625,0.8250000000000001,0.7466666666666666,0.7179487179487178,8.203029358566429
55,0.7541666666666667,0.7541666666666667,0.6966666666666667,0.7871939736346516,0.7541666666666667,0.8177636534839925,0.7391688770999116,0.7130672125554418,8.49085782584022
56,0.755,0.755,0.6883333333333334,0.7942307692307692,0.755,0.8191987179487179,0.7374999999999999,0.7071917808219178,8.462071514190644
57,0.7533333333333333,0.7533333333333333,0.6866666666666666,0.7923076923076923,0.7533333333333333,0.8178205128205127,0.7357142857142858,0.7054794520547946,8.519636807846688
58,0.7541666666666667,0.7541666666666667,0.6933333333333334,0.7893738140417458,0.7541666666666667,0.8180202403542063,0.738243123336291,0.7106252135292108,8.490856493177835
59,0.7533333333333333,0.7533333333333334,0.6933333333333334,0.7878787878787878,0.7533333333333334,0.8172727272727273,0.7375886524822695,0.7103825136612023,8.519639473171452
60,0.7566666666666667,0.7566666666666666,0.705,0.7862453531598513,0.7566666666666667,0.8193726765799256,0.7434094903339191,0.7198774676650782,8.404512217515327
61,0.7566666666666667,0.7566666666666667,0.7033333333333334,0.7873134328358209,0.7566666666666667,0.8194900497512438,0.7429577464788732,0.7186648501362398,8.404511551184136
62,0.7591666666666667,0.7591666666666667,0.6916666666666667,0.7996146435452793,0.7591666666666667,0.8227239884393063,0.7417336907953529,0.710859883521754,8.31815794688494
63,0.7475,0.7475,0.6916666666666667,0.7786116322701688,0.7475,0.812222482801751,0.7325684024713152,0.7074667575860893,8.721119666795584
64,0.755,0.755,0.6816666666666666,0.798828125,0.755,0.8198307291666667,0.735611510791367,0.7022664835164835,8.462068848865876
65,0.7583333333333333,0.7583333333333333,0.6983333333333334,0.7935606060606061,0.7583333333333333,0.8213636363636363,0.7429078014184397,0.7155054644808744,8.346943592203324
66,0.7541666666666667,0.7541666666666667,0.6916666666666667,0.7904761904761904,0.7541666666666667,0.8181547619047618,0.7377777777777778,0.7094017094017093,8.490855826846644
67,0.7633333333333333,0.7633333333333334,0.7033333333333334,0.7992424242424242,0.7633333333333334,0.8254545454545454,0.74822695035461,0.7206284153005464,8.174247711235195
68,0.7541666666666667,0.7541666666666667,0.68,0.7984344422700587,0.7541666666666668,0.8192172211350294,0.7344734473447345,0.7007901064926143,8.490851162528301
69,0.7558333333333334,0.7558333333333334,0.675,0.805168986083499,0.7558333333333334,0.8213344930417494,0.7343608340888486,0.6975542542197728,8.433283203547491
70,0.7608333333333334,0.7608333333333334,0.68,0.8111332007952287,0.7608333333333334,0.8255666003976144,0.7398005439709882,0.7027213227695488,8.260587322579363
71,0.7533333333333333,0.7533333333333333,0.6916666666666667,0.7889733840304183,0.7533333333333333,0.8174033586818757,0.7371225577264654,0.7091592617908408,8.519638806840263
72,0.7658333333333334,0.7658333333333334,0.6916666666666667,0.812133072407045,0.7658333333333334,0.8289832028701891,0.747074707470747,0.7128134661628307,8.087894106936
73,0.7658333333333334,0.7658333333333334,0.7,0.8061420345489443,0.7658333333333333,0.8280710172744721,0.7493309545049063,0.7189318726463539,8.087897438591959
74,0.7625,0.7625,0.695,0.8034682080924855,0.7624999999999998,0.8254841040462427,0.745308310991957,0.7142857142857144,8.203027359572854
75,0.7575,0.7575000000000001,0.685,0.8011695906432749,0.7575,0.8218347953216375,0.7385444743935309,0.7054582904222452,8.375721241547408
76,0.7641666666666667,0.7641666666666667,0.6966666666666667,0.8053949903660886,0.7641666666666667,0.826864161849711,0.7470956210902592,0.7159986296676943,8.145462065916812
77,0.7675,0.7675,0.69,0.8165680473372781,0.7674999999999998,0.830784023668639,0.7479674796747967,0.7120743034055728,8.030327480617576
78,0.7458333333333333,0.7458333333333333,0.6666666666666666,0.7920792079207921,0.7458333333333332,0.8127062706270627,0.7239819004524886,0.6884681583476764,8.77867563181494
79,0.7616666666666667,0.7616666666666667,0.6933333333333334,0.803088803088803,0.7616666666666667,0.8248777348777349,0.7441860465116279,0.7128169979437973,8.23180967323528
80,0.7558333333333334,0.7558333333333334,0.695,0.7912713472485768,0.7558333333333332,0.8193856736242884,0.7400177462289264,0.712333447215579,8.433291199521793
81,0.775,0.775,0.7116666666666667,0.8148854961832062,0.775,0.8353594147582698,0.7597864768683275,0.7301641586867305,7.77128932298051
82,0.755,0.755,0.6883333333333334,0.7942307692307692,0.755,0.8191987179487179,0.7374999999999999,0.7071917808219178,8.462071514190642
83,0.76,0.76,0.6966666666666667,0.7977099236641222,0.7600000000000001,0.8230216284987277,0.7437722419928825,0.7147742818057455,8.289376965884896
84,0.7625,0.7625,0.7016666666666667,0.7988614800759013,0.7625000000000001,0.8248474067046173,0.7471162377994677,0.7191663819610523,8.203030024897622
85,0.7566666666666667,0.7566666666666666,0.6916666666666667,0.7950191570881227,0.7566666666666667,0.8204262452107279,0.7397504456327986,0.7101300479123889,8.404506886865793
86,0.7516666666666667,0.7516666666666667,0.6666666666666666,0.8032128514056225,0.7516666666666666,0.8182730923694779,0.7285974499089253,0.6901311249137336,8.577194771859618
87,0.7575,0.7575000000000001,0.6883333333333334,0.7988394584139265,0.7575000000000001,0.8215030625402966,0.739480752014324,0.7079190949605759,8.37572257420979
88,0.7575,0.7575000000000001,0.6733333333333333,0.8096192384769539,0.7575000000000001,0.8231429525718102,0.7352138307552321,0.6967919972404277,8.375716577229065
89,0.7666666666666667,0.7666666666666666,0.6883333333333334,0.8162055335968379,0.7666666666666667,0.8301861001317523,0.7468354430379746,0.7105987611837578,8.05910979428
90,0.765,0.765,0.7083333333333334,0.7988721804511278,0.765,0.8265194235588972,0.7508833922261485,0.7247612551159619,8.116683750241537
91,0.7683333333333333,0.7683333333333333,0.6983333333333334,0.812015503875969,0.7683333333333333,0.8305910852713179,0.7508960573476703,0.7184499314128944,8.001547832279915
92,0.77,0.77,0.7016666666666667,0.8127413127413128,0.77,0.8317873230373231,0.7531305903398927,0.7213845099383139,7.943983204955065
93,0.7566666666666667,0.7566666666666666,0.6933333333333334,0.7938931297709924,0.7566666666666667,0.8202798982188295,0.7402135231316725,0.7113543091655268,8.404507553196984
94,0.7575,0.7575000000000001,0.68,0.8047337278106509,0.7575000000000001,0.8223668639053255,0.7371273712737128,0.7017543859649122,8.375719242553833
95,0.7566666666666667,0.7566666666666666,0.6783333333333333,0.8043478260869565,0.7566666666666666,0.8217572463768117,0.735985533453888,0.7002752924982795,8.404501556216257
96,0.7625,0.7625,0.6916666666666667,0.8058252427184466,0.7625000000000001,0.82582928802589,0.7443946188340808,0.7118353344768438,8.20302602691047
97,0.7658333333333334,0.7658333333333334,0.6816666666666666,0.8196392785571143,0.7658333333333333,0.8302363059452238,0.7443130118289354,0.7054156605726112,8.08789010894885
98,0.7708333333333334,0.7708333333333333,0.6966666666666667,0.8180039138943248,0.7708333333333334,0.833168623613829,0.7524752475247524,0.7179663345929235,7.915198225967873
99,0.7625,0.7625,0.69,0.8070175438596491,0.7625,0.8260087719298245,0.7439353099730458,0.7106076210092689,8.20302536057928
100,0.7558333333333334,0.7558333333333334,0.6733333333333333,0.8063872255489022,0.7558333333333334,0.8215269461077844,0.7338782924613988,0.6963116166839021,8.433282537216298
101,0.7533333333333333,0.7533333333333334,0.6833333333333333,0.7945736434108527,0.7533333333333333,0.8181201550387597,0.7347670250896058,0.7030178326474623,8.519635475184302
102,0.7758333333333334,0.7758333333333334,0.69,0.8329979879275654,0.7758333333333334,0.8389989939637825,0.7547857793983592,0.7145322747670003,7.742497680681401
103,0.7616666666666667,0.7616666666666667,0.6783333333333333,0.814,0.7616666666666666,0.8265833333333334,0.74,0.7017241379310345,8.231803676254552
104,0.7675,0.7675000000000001,0.6916666666666667,0.8153241650294696,0.7675,0.8305787491814014,0.7484220018034266,0.7133035407356481,8.030328146948765
105,0.7533333333333333,0.7533333333333333,0.69,0.7900763358778626,0.7533333333333333,0.8175381679389313,0.7366548042704626,0.7079343365253077,8.519638140509068
106,0.7583333333333333,0.7583333333333333,0.6883333333333334,0.8003875968992248,0.7583333333333334,0.8222771317829458,0.7401433691756272,0.7081618655692729,8.346939594216174
107,0.7616666666666667,0.7616666666666667,0.675,0.8165322580645161,0.7616666666666668,0.827016129032258,0.7390510948905109,0.6992403314917128,8.231802343592168
108,0.7625,0.7625,0.6916666666666667,0.8058252427184466,0.7625000000000001,0.82582928802589,0.7443946188340808,0.7118353344768438,8.203026026910472
109,0.755,0.755,0.6883333333333334,0.7942307692307692,0.755,0.8191987179487179,0.7374999999999999,0.7071917808219178,8.462071514190644
110,0.755,0.755,0.6783333333333333,0.8011811023622047,0.755,0.8201738845144356,0.7346570397111913,0.6997936726272352,8.462067516203494
111,0.765,0.765,0.6866666666666666,0.8142292490118577,0.7649999999999999,0.8287812911725955,0.7450271247739602,0.7088781830695113,8.116675087936043
112,0.7725,0.7725,0.6916666666666667,0.8250497017892644,0.7725,0.8354415175612988,0.7524932003626473,0.7147778160523598,7.857630266987062
113,0.7566666666666667,0.7566666666666666,0.6733333333333333,0.808,0.7566666666666666,0.8223333333333334,0.7345454545454546,0.6965517241379311,8.404499557222682
114,0.7608333333333334,0.7608333333333334,0.6933333333333334,0.8015414258188824,0.7608333333333334,0.8241040462427746,0.743521000893655,0.7125727989037343,8.260592653228898
115,0.7591666666666667,0.7591666666666667,0.6983333333333334,0.7950664136622391,0.7591666666666667,0.8221165401644528,0.743566992014197,0.7157499145883156,8.318160612209708
116,0.7575,0.7575000000000001,0.6766666666666666,0.8071570576540755,0.7575000000000001,0.8227451954937044,0.7361740707162284,0.6992766104030314,8.37571790989145
117,0.77,0.77,0.6933333333333334,0.8188976377952756,0.77,0.8327821522309711,0.7509025270758124,0.7152682255845942,7.943979873299106
118,0.7658333333333334,0.7658333333333334,0.6916666666666667,0.812133072407045,0.7658333333333334,0.8289832028701891,0.747074707470747,0.7128134661628307,8.087894106936
119,0.7683333333333333,0.7683333333333333,0.6933333333333334,0.8156862745098039,0.7683333333333333,0.8311764705882354,0.7495495495495496,0.7147766323024055,8.001545833286341
120,0.7808333333333334,0.7808333333333333,0.7033333333333334,0.8323471400394478,0.7808333333333334,0.8420069033530573,0.7624209575429088,0.7258341933264535,7.569805131369231
121,0.7775,0.7775000000000001,0.7116666666666667,0.8195777351247601,0.7774999999999999,0.8377055342290466,0.7618198037466548,0.7309140705237933,7.684940382999659
122,0.765,0.765,0.6983333333333334,0.8057692307692308,0.765,0.8274679487179487,0.7482142857142857,0.7174657534246576,8.116679752254386
123,0.7741666666666667,0.7741666666666667,0.6966666666666667,0.8244575936883629,0.7741666666666667,0.8363954635108481,0.7551942186088528,0.7189542483660131,7.800066305993402
124,0.7725,0.7725,0.7,0.8187134502923976,0.7725,0.8343567251461987,0.7547169811320755,0.7209062821833161,7.857633598643021
125,0.7608333333333334,0.7608333333333333,0.69,0.8038834951456311,0.7608333333333333,0.8244417475728154,0.7426008968609865,0.7101200686106346,8.260591320566512
126,0.7783333333333333,0.7783333333333333,0.6933333333333334,0.8353413654618473,0.7783333333333333,0.841004016064257,0.7577413479052822,0.7177363699102829,7.656150073362933
127,0.7758333333333334,0.7758333333333334,0.71,0.817658349328215,0.7758333333333333,0.8363291746641075,0.7600356824264051,0.7292023279698734,7.742505676655701
128,0.7791666666666667,0.7791666666666667,0.7016666666666667,0.8303747534516766,0.7791666666666667,0.8406040433925049,0.7606142728093949,0.7241142070863434,7.627370425025274
