,0
0,75
1,392
2,0
3,290
4,110
5,166
6,43
7,64
8,80
9,198
10,467
11,63
12,30
13,168
14,292
15,20
16,7
17,840
18,16
19,95
20,96
21,65
22,108
23,341
24,158
25,206
26,240
27,310
28,157
29,239
30,247
31,190
32,320
33,57
34,36
35,136
36,227
37,19
38,131
39,169
40,29
41,182
42,300
43,197
44,278
45,196
46,855
47,13
48,241
49,208
50,447
51,195
52,148
53,343
54,161
55,381
56,160
57,132
58,394
59,81
60,194
61,156
62,385
63,417
64,541
65,313
66,40
67,812
68,172
69,22
70,668
71,76
72,231
73,192
74,31
75,191
76,476
77,111
78,229
79,405
80,141
81,702
82,403
83,369
84,175
85,419
86,454
87,222
88,312
89,268
90,388
91,713
92,374
93,100
94,287
95,276
96,200
97,503
98,295
99,212
100,496
101,145
102,18
103,519
104,373
105,180
106,216
107,134
108,244
109,470
110,125
111,32
112,386
113,3
114,129
115,122
116,378
117,251
118,495
119,201
120,255
121,98
122,224
123,70
124,304
125,351
126,401
127,397
128,355
129,628
130,509
131,681
132,47
133,639
134,173
135,510
136,117
137,693
138,263
139,144
140,630
141,486
142,711
143,438
144,281
145,468
146,42
147,418
148,575
149,600
150,416
151,274
152,583
153,102
154,348
155,421
156,221
157,436
158,49
159,577
160,299
161,647
162,458
163,434
164,232
165,490
166,605
167,568
168,410
169,435
170,256
171,546
172,511
173,584
174,803
175,39
176,322
177,409
178,441
179,677
180,890
181,390
182,291
183,585
184,675
185,230
186,109
187,574
188,218
189,340
190,695
191,547
192,539
193,371
194,914
195,704
196,896
197,8
198,616
199,316
200,716
201,552
202,288
203,561
204,768
205,756
206,83
207,245
208,459
209,642
210,718
211,565
212,554
213,120
214,437
215,868
216,679
217,174
218,623
219,590
220,805
221,749
222,572
223,38
224,480
225,413
226,443
227,540
228,866
229,1051
230,883
231,629
232,815
233,445
234,127
235,323
236,714
237,1001
238,738
239,665
240,512
241,784
242,666
243,570
244,811
245,932
246,705
247,1058
248,707
249,763
250,843
251,23
252,906
253,743
254,751
255,919
256,1129
257,1049
258,770
259,1149
260,433
261,667
262,895
263,836
264,901
265,777
266,826
267,315
268,598
269,732
270,715
271,758
272,712
273,501
274,748
275,819
276,829
277,353
278,985
279,981
280,904
281,942
282,915
283,782
284,837
285,632
286,595
287,730
288,624
289,887
290,582
291,1171
292,913
293,359
294,1036
295,362
296,1048
297,908
298,950
299,2
300,1013
301,1023
302,860
303,682
304,996
305,935
306,1181
307,164
308,709
309,556
310,588
311,498
312,964
313,634
314,279
315,781
316,475
317,952
318,643
319,680
320,971
321,1214
322,1112
323,830
324,1405
325,984
326,1015
327,531
328,723
329,51
330,987
331,852
332,26
333,885
334,1087
335,1154
336,989
337,988
338,1025
339,1037
340,1067
341,307
342,795
343,1150
344,1291
345,963
346,578
347,1502
348,939
349,761
350,450
351,48
352,1125
353,1152
354,1289
355,606
356,838
357,1224
358,1110
359,1024
360,672
361,564
362,1032
363,1316
364,1156
365,1202
366,1147
367,1409
368,562
369,1366
370,1088
371,1070
372,1600
373,1151
374,684
375,491
376,720
